source,documents,parsed_ok,parse_errors,raw_bytes_total,text_bytes_total,avg_raw_bytes,avg_text_bytes,median_raw_bytes,median_text_bytes,min_text_bytes,max_text_bytes,words_total,avg_words,median_words,min_words,max_words,extraction_ratio,documents_with_hash,unique_texts,duplicate_documents
ALL,24,24,0,8941458,328266,372560.75,13677.75,245163.0,11053.0,567,59797,29482,1228.4166666666667,882.5,40,4894,0.03671280455603549,24,24,0
eurogamer,2,2,0,480113,17682,240056.5,8841.0,240056.5,8841.0,3086,14596,3169,1584.5,1584.5,528,2641,0.036828829879632506,2,2,0
gamemag,3,3,0,296257,33801,98752.33333333333,11267.0,82424.0,15356.0,567,17878,2630,876.6666666666666,1157.0,40,1433,0.11409350665131963,3,3,0
gamingonlinux,2,2,0,149573,4902,74786.5,2451.0,74786.5,2451.0,2253,2649,772,386.0,386.0,383,389,0.03277329464542397,2,2,0
igromania,3,3,0,778452,60080,259484.0,20026.666666666668,306535.0,24114.0,1792,34174,4717,1572.3333333333333,1903.0,159,2655,0.07717881128187737,3,3,0
ixbt_games,4,4,0,1249777,59505,312444.25,14876.25,312025.5,15101.5,3389,25913,4671,1167.75,1152.5,269,2097,0.0476124940689419,4,4,0
pcgamer,2,2,0,4080412,14537,2040206.0,7268.5,2040206.0,7268.5,2300,12237,2319,1159.5,1159.5,401,1918,0.003562630440259464,2,2,0
playground,3,3,0,621758,34087,207252.66666666666,11362.333333333334,202163.0,10518.0,3674,19895,2680,893.3333333333334,822.0,330,1528,0.05482358087873417,3,3,0
stopgame,5,5,0,1285116,103672,257023.2,20734.4,267953.0,11588.0,2144,59797,8524,1704.8,943.0,188,4894,0.08067131683054292,5,5,0
